,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Кампания ""Падел | Поиск"" (704317567), период 27.03.2026 - 02.04.2026",,,,,,,,,,
Всего,,Ср.расход за день (руб.),Показы,Клики,CTR (%),Расход (руб.),Ср. цена клика (руб.),Глубина (стр.),Конверсия (%)/страница Спасибо,Конверсия (%)/Звонок Calltouch
с 27.03.2026 по 02.04.2026,,"2047,76",9354,179,"1,91","14334,34","80,08","1,48",-,"2,23"
,,,,,,,,,,
Дата,Показы,Клики,CTR (%),Расход (руб.),Ср. цена клика (руб.),Глубина (стр.),Конверсия (%)/страница Спасибо,Конверсия (%)/Звонок Calltouch,,
27.03.2026,1160,29,"2,5","2769,22","95,49","1,59",-,"3,45",,
28.03.2026,1305,29,"2,22","1987,21","68,52","1,26",-,"3,45",,
29.03.2026,1833,27,"1,47","1960,33","72,6","1,16",-,-,,
30.03.2026,1427,23,"1,61","2107,72","91,64","1,31",-,"4,35",,
31.03.2026,1370,28,"2,04","2184,17","78,01","1,81",-,"3,57",,
01.04.2026,1375,26,"1,89","1913,79","73,61","1,5",-,-,,
02.04.2026,884,17,"1,92","1411,89","83,05",2,-,-,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Кампания ""Падел | РСЯ"" (704350848), период 27.03.2026 - 02.04.2026",,,,,,,,,,
Всего,,Ср.расход за день (руб.),Показы,Клики,CTR (%),Расход (руб.),Ср. цена клика (руб.),Глубина (стр.),Конверсия (%)/страница Спасибо,Конверсия (%)/Звонок Calltouch
с 27.03.2026 по 02.04.2026,,"2643,33",17318,591,"3,41","18503,31","31,31","1,07",-,"0,34"
,,,,,,,,,,
Дата,Показы,Клики,CTR (%),Расход (руб.),Ср. цена клика (руб.),Глубина (стр.),Конверсия (%)/страница Спасибо,Конверсия (%)/Звонок Calltouch,,
27.03.2026,4236,78,"1,84","2226,66","28,55","1,08",-,-,,
28.03.2026,1471,92,"6,25","2373,92","25,8",1,-,-,,
29.03.2026,1678,115,"6,85","4118,39","35,81","1,11",-,-,,
30.03.2026,2650,106,4,"2219,93","20,94","1,05",-,"0,94",,
31.03.2026,1822,93,"5,1","2142,39","23,04","1,12",-,"1,08",,
01.04.2026,2676,58,"2,17","3206,27","55,28","1,07",-,-,,
02.04.2026,2785,49,"1,76","2215,75","45,22","1,09",-,-,,
,,,,,,,,,,
Что делаем: ,,,,,,,,,,
"ежедневный мониторинг,  наблюдаем за РК на поиске и  РСЯ",,,,,,,,,,
специалист от яндекс директ готовит дополнительные рекомендации по РК,,,,,,,,,,